Puesto,Sueldo_Bruto,Ubicación,Modalidad_Trabajo,Rol,Nivel,Fuente,URL,Fecha_Captura,Sueldo_Aprox_Mercado,Sueldo_Final,Tipo_Dato
Global Head of Data Intelligence,75000.0,No especificada,Remoto,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/global-head-of-data-intelligence-page-personnel/bi/rf-1ebc10bfe231a31a6b42,2026-01-20,56500.0,75000.0,Real
Programador Big Data. Teletrabajo,38000.0,No especificada,Remoto,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/programador-big-data-teletrabajo-second-window/spark-python-sql-ci-cd-powe/rf-054d17b2d2dbe398984d,2026-01-20,56500.0,38000.0,Real
Consultor Senior Data Sector Público,,No especificada,Remoto,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/consultor-senior-data-sector-publico-hays/data/rf-981b1aa2d2c25391d345,2026-01-20,56500.0,56500.0,Estimado
Technical Expert - Data & AI,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/technical-expert-data-ai-talan/python-sql/rf-1a2b1e7e5250e3dd4043,2026-01-20,56500.0,56500.0,Estimado
Data Engineer (f/m/d),,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-f-m-d-axpo-group/big-data-python/rf-826f11e9127b13ca324b,2026-01-20,75000.0,75000.0,Estimado
Data Architect,,No especificada,Remoto,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-architect-gfr-technologies-se/etl/rf-7d7a1e17021543e14c4f,2026-01-20,56500.0,56500.0,Estimado
Analista Programador/Data Scientist/BI,,Madrid,Remoto,Data Analyst,Senior,Tecnoempleo,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40,2026-01-20,58500.0,58500.0,Estimado
GCP Data Engineer - Sector Moda,,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/gcp-data-engineer-sector-moda-devoteam/bigquery-cloud-run/rf-58ee11a0d222231b5d46,2026-01-20,75000.0,75000.0,Estimado
Data Engineer,,No especificada,Híbrido/Presencial,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-sopra-steria/azure-databricks-python/rf-9cfc18bab2e7b3cb9743,2026-01-20,75000.0,75000.0,Estimado
Information Data Architect,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/information-data-architect-axiom-software-solution/data/rf-fc171340b23e839f604a,2026-01-20,56500.0,56500.0,Estimado
